,title,issueNum,year,creator
525,Justice League of America's Vibe,8,2013,Andres Guinaldo
526,The Flash,114,1987,Oscar Jimenez Garrido - 'Juan Barranco'
527,The Flash,114,1987,Jose Marzan Jr.
528,The Flash,114,1987,Anthony Castrillo - 'MAC'
529,The Flash,114,1987,Mark Waid
530,The Flash,114,1987,Tom J. McCraw
531,The Flash,114,1987,Hanibal Rodriguez - 'Anibal Rodriguez'
532,Green Lantern,23.4,2011,Andrew Dalhouse
533,Green Lantern,23.4,2011,Dale Eaglesham
534,Green Lantern,23.4,2011,Matt Kindt
535,Justice League,18,2011,Geoff Johns
536,Justice League,18,2011,Jeromy N. Cox
537,Justice League,18,2011,Gary Frank
538,Justice League,18,2011,Brad Anderson
539,Justice League,18,2011,Jesus Saiz
540,Flash Comics,24,1940,Sheldon Mayer
541,Flash Comics,24,1940,Maxwell Charles Gaines
543,Flash Comics,24,1940,Sheldon Moldoff - 'Shelly'
544,Flash Comics,24,1940,Everett E. Hibbard
545,Flash Comics,24,1940,Gardner F. Fox
546,Justice League Task Force,10,1993,Sal Velluto
547,Justice League Task Force,10,1993,Glenn Whitmore
548,Justice League Task Force,10,1993,Michael Jan Friedman
549,Justice League Task Force,10,1993,Jeff Albrecht
550,Green Lantern,13,1990,Bruce D. Patterson
551,Green Lantern,13,1990,Patrick 'Pat' Broderick
552,Green Lantern,13,1990,Romeo Tanghal
553,Green Lantern,13,1990,Anthony Tollin
554,Green Lantern,13,1990,Mark D. Bright - 'Doc Bright'
555,Green Lantern,13,1990,Gerard Jones
556,Green Lantern,13,1990,Joe Staton
557,Justice League of America,13,2013,Eber Ferreira
558,Justice League of America,13,2013,Thomas Derenick
559,Justice League of America,13,2013,Allen Martinez
560,Justice League of America,13,2013,Marc Deering
561,Justice League of America,13,2013,Eddy Barrows
562,Justice League of America,13,2013,Matt Kindt
563,Justice League of America,13,2013,Hi-Fi Colour Design
564,Justice League of America,208,1960,Roy Thomas
565,Justice League of America,208,1960,Carl Gafford - 'Gaff'
566,Justice League of America,208,1960,Gerry Conway
567,Justice League of America,208,1960,Don Heck
568,Justice League of America,208,1960,Sal Trapani
569,Flashpoint: The Outsider,3,2011,Javier 'Javi' Fernandez
570,Flashpoint: The Outsider,3,2011,Richard Horie - 'RMH'
571,Flashpoint: The Outsider,3,2011,Tanya Horie
572,Flashpoint: The Outsider,3,2011,James Dale Robinson
574,Justice League Task Force,26,1993,Adrienne Roy
575,Justice League Task Force,26,1993,Chip Wallace - 'Chip / Charles Wallace / Crusher Wallace'
576,Justice League Task Force,26,1993,Jim Cheung
577,Justice League Task Force,26,1993,Christopher Priest
578,Justice League Europe,25,1989,Randy Elliott
579,Justice League Europe,25,1989,Gerard Jones
580,Justice League Europe,25,1989,Bart Sears - 'Wittman'
581,Justice League Europe,25,1989,Keith Ian Giffen
582,Justice League Europe,25,1989,Gene D'Angelo
583,Arrow [II],28,2012,Alejandro Germnico Benito Gonzlez - 'Xermanico'
584,Arrow [II],28,2012,Mado Pea
585,Arrow [II],28,2012,Ikari Studios
586,Arrow [II],28,2012,Marc Guggenheim
587,Arrow [II],28,2012,Katherine Walczak
588,Green Arrow/Black Canary,None,2007,Greg Scott
589,Green Arrow/Black Canary,None,2007,Mike Norton
590,Green Arrow/Black Canary,None,2007,Tom J. McCraw
591,Green Arrow/Black Canary,None,2007,Judd Winick
592,Green Arrow/Black Canary,None,2007,Rick Burchett
593,Green Arrow/Black Canary,None,2007,Michael Bair - 'Michael A. Hernandez'
594,Green Arrow/Black Canary,None,2007,Wayne Faucher
595,Green Arrow/Black Canary,None,2007,Eliot R. Brown
596,Green Arrow/Black Canary,None,2007,Patrick 'Pat' Gleason
597,Green Arrow/Black Canary,None,2007,David Baron
598,Green Arrow/Black Canary,None,2007,Robin Riggs
599,Green Arrow/Black Canary,None,2007,Mick Gray
600,Green Arrow/Black Canary,None,2007,Dan Davis
601,Green Arrow/Black Canary,None,2007,Dan Curtis Johnson
602,The Flash,0,1987,Jose Marzan Jr.
603,The Flash,0,1987,Gina Going-Raney - 'Gina Going'
604,The Flash,0,1987,Mike Wieringo
605,The Flash,0,1987,Mark Waid
606,The Flash,23,1987,Gordon Purcell
607,The Flash,23,1987,Larry Mahlstedt
608,The Flash,23,1987,William Messner-Loebs
609,The Flash,23,1987,Tim Dzon
610,The Flash,23,1987,Michele Wolfman
611,Supergirl,78,1996,Ed Benes
612,Supergirl,78,1996,Alex Lei - 'Juci Leito Alexandre'
613,Supergirl,78,1996,Peter Allen David - 'PAD'
614,Supergirl,78,1996,Digital Chameleon
615,Supergirl,0,2011,Michael Green
616,Supergirl,0,2011,Mike Johnson
617,Supergirl,0,2011,Mahmud  A. Asrar
618,Supergirl,0,2011,Dave McCaig
619,Arrow: The Dark Archer,7,2016,Daniel Sampere
620,Arrow: The Dark Archer,7,2016,Carole E. Barrowman
621,Arrow: The Dark Archer,7,2016,Juan Albarran
622,Arrow: The Dark Archer,7,2016,Kyle Ritter
623,Arrow: The Dark Archer,7,2016,John Barrowman
624,The Fury of Firestorm,21,1982,Rafael Kayanan
625,The Fury of Firestorm,21,1982,Carl Gafford - 'Gaff'
626,The Fury of Firestorm,21,1982,Gerry Conway
627,The Fury of Firestorm,21,1982,Rodin L. Rodriguez
628,The Flash,254,1959,Jerry Serpe
629,The Flash,254,1959,Frank McLaughlin
630,The Flash,254,1959,Irving ''Irv'' Novick
631,The Flash,254,1959,Cary Bates
632,Justice League of America,9,2013,Tom Nguyen
633,Justice League of America,9,2013,Allen Martinez
634,Justice League of America,9,2013,Thomas Derenick
635,Justice League of America,9,2013,Matt Kindt
636,Justice League of America,9,2013,Gabriel A. Eltaeb
637,Justice League 3000,13,2014,Hi-Fi Colour Design
638,Justice League 3000,13,2014,Keith Ian Giffen
640,Justice League 3000,13,2014,Howard Porter
641,Justice League 3000,13,2014,John Marc 'J.M.' DeMatteis
643,Justice League Unlimited,23,2004,Jesse Delperdang
644,Justice League Unlimited,23,2004,Johnny DC
645,Justice League Unlimited,23,2004,Heroic Age
646,Justice League Unlimited,23,2004,Mike McAvennie
647,Justice League Unlimited,23,2004,Leigh Gallagher
649,The Flash,340,1959,Frank McLaughlin
650,The Flash,340,1959,Carmine Infantino
651,The Flash,340,1959,Cary Bates
652,The Flash,340,1959,Carl Gafford - 'Gaff'
653,The Flash: Season Zero [I],18,2014,Andrew Kreisberg
654,The Flash: Season Zero [I],18,2014,Eric Gapstur
655,The Flash: Season Zero [I],18,2014,Lauren Certo
656,The Flash: Season Zero [I],18,2014,Nick Filardi
657,The Flash: Season Zero [I],18,2014,Kai Yu Wu
658,The Flash: Season Zero [I],18,2014,Phillip 'Phil' Hester
659,Justice League: Generation Lost,11,2010,Aaron Lopresti
660,Justice League: Generation Lost,11,2010,Hi-Fi Colour Design
661,Justice League: Generation Lost,11,2010,Matthew C. Ryan - 'Matt Ryan / Matty'
662,Justice League: Generation Lost,11,2010,Judd Winick
663,Green Arrow,22,1988,Dan Jurgens
664,Green Arrow,22,1988,Frank McLaughlin
665,Green Arrow,22,1988,Mike Grell
666,Green Arrow,22,1988,Julia Lacquement
667,Green Arrow,22,1988,Dick Giordano
668,Aquaman,43,2011,Trevor McCarthy
669,Aquaman,43,2011,Jesus Merino
670,Aquaman,43,2011,Guy Major
671,Aquaman,43,2011,Cullen Bunn
672,Justice League of America: The Ray - Rebirth,1,2017,Stephen Byrne
673,Justice League of America: The Ray - Rebirth,1,2017,Steve Orlando
674,Green Arrow,34,1988,Dan Jurgens
675,Green Arrow,34,1988,Frank McLaughlin
676,Green Arrow,34,1988,Mike Grell
677,Green Arrow,34,1988,Julia Lacquement
678,Green Lantern,50,2005,Gabriel A. Eltaeb
679,Green Lantern,50,2005,Mark John Irwin
680,Green Lantern,50,2005,Randy G. Mayor
681,Green Lantern,50,2005,Christian Alamy
682,Green Lantern,50,2005,Tom Nguyen
683,Green Lantern,50,2005,Geoff Johns
684,Green Lantern,50,2005,Doug Mahnke
685,Green Lantern,50,2005,Rebecca Buchman
686,Wonder Woman,111,1942,Robert 'Bob' Kanigher
687,Wonder Woman,111,1942,Mike Esposito - 'Espo'
688,Wonder Woman,111,1942,Ross Andru
689,The Flash,52,1987,Greg LaRocque
690,The Flash,52,1987,William Messner-Loebs
691,The Flash,52,1987,Jose Marzan Jr.
692,The Flash,52,1987,Glenn Whitmore
693,Justice League,0,2011,Hi-Fi Colour Design
695,Justice League,0,2011,Brad Anderson
696,Justice League,0,2011,Geoff Johns
697,Justice League,0,2011,Ethan Van Sciver
698,Justice League,0,2011,Gary Frank
700,Green Arrow,57,2001,Bill Reinhold
701,Green Arrow,57,2001,Ron Garney
702,Green Arrow,57,2001,Ron Lim
703,Green Arrow,57,2001,Guy Major
704,Green Arrow,57,2001,Judd Winick
705,All-Flash,14,1941,Everett E. Hibbard
706,All-Flash,14,1941,Sheldon Mayer
708,All-Flash,14,1941,Gardner F. Fox
709,Green Lantern: Rebirth,None,2004,Geoff Johns
710,Green Lantern: Rebirth,None,2004,Ethan Van Sciver
711,Green Lantern: Rebirth,None,2004,Mick Gray
712,Green Lantern: Rebirth,None,2004,Prentis Rollins
713,Green Lantern: Rebirth,None,2004,W. Moose Baumann
714,Green Lantern: Emerald Dawn II,1,1991,Romeo Tanghal
715,Green Lantern: Emerald Dawn II,1,1991,Mark D. Bright - 'Doc Bright'
716,Green Lantern: Emerald Dawn II,1,1991,Gerard Jones
717,Green Lantern: Emerald Dawn II,1,1991,Keith Ian Giffen
718,Green Lantern: Emerald Dawn II,1,1991,Anthony Tollin
719,Green Lanterns,5,2016,Eduardo Pansica
720,Green Lanterns,5,2016,Robson Rocha
721,Green Lanterns,5,2016,Blond
722,Green Lanterns,5,2016,Julio Ferreira
723,Green Lanterns,5,2016,Sam Humphries
724,Green Lanterns,5,2016,Jay Leisten
725,Wonder Woman,213,1987,James Raiz
726,Wonder Woman,213,1987,Tanya Horie
727,Wonder Woman,213,1987,Ray Snyder
728,Wonder Woman,213,1987,Richard Horie - 'RMH'
729,Wonder Woman,213,1987,Greg Rucka
730,Justice League,45,2011,Geoff Johns
731,Justice League,45,2011,Brian Buccellato - 'Brian Bucce'
732,Justice League,45,2011,Francis Manapul
733,Justice League Unlimited,8,2004,Tom Palmer Jr.
734,Justice League Unlimited,8,2004,Carlo G. Barberi
735,Justice League Unlimited,8,2004,Dave McCaig
736,Justice League Unlimited,8,2004,Johnny DC
737,Justice League Unlimited,8,2004,Walden Wong
738,Justice League Unlimited,8,2004,Heroic Age
739,Justice League Unlimited,8,2004,Jeanine Schaefer
740,Justice League Unlimited,8,2004,Adam Beechen
742,The Flash Secret Files and Origins 2010,1,2010,Scott Kolins
743,The Flash Secret Files and Origins 2010,1,2010,Eddie Berganza
744,The Flash Secret Files and Origins 2010,1,2010,Adam Schlagman
745,The Flash Secret Files and Origins 2010,1,2010,Brian Buccellato - 'Brian Bucce'
746,The Flash Secret Files and Origins 2010,1,2010,Dan DiDio
747,The Flash Secret Files and Origins 2010,1,2010,Geoff Johns
748,The Flash Secret Files and Origins 2010,1,2010,Michael Atiyeh
749,The Flash Secret Files and Origins 2010,1,2010,Francis Manapul
750,Green Lantern: Emerald Warriors,None,2010,Cam Smith
751,Green Lantern: Emerald Warriors,None,2010,Gabriel A. Eltaeb
752,Green Lantern: Emerald Warriors,None,2010,Randy G. Mayor
753,Green Lantern: Emerald Warriors,None,2010,Fernando Pasarin
754,Green Lantern: Emerald Warriors,None,2010,Oclair Albert
755,Green Lantern: Emerald Warriors,None,2010,Peter J. Tomasi
756,Birds of Prey: Manhunt,1,1996,Charles 'Chuck' Dixon
757,Birds of Prey: Manhunt,1,1996,Gloria Vasquez
758,Birds of Prey: Manhunt,1,1996,Android Images
759,Birds of Prey: Manhunt,1,1996,Matt Haley
760,Birds of Prey: Manhunt,1,1996,Wade Von Grawbadger
761,DC's Young Animal Ashcan Edition,None,2016,Marley Zarcone
762,DC's Young Animal Ashcan Edition,None,2016,Gerard Arthur Way
763,DC's Young Animal Ashcan Edition,None,2016,Young Animal
764,DC's Young Animal Ashcan Edition,None,2016,Tommy Lee Edwards
765,DC's Young Animal Ashcan Edition,None,2016,Michael Avon Oeming
766,DC's Young Animal Ashcan Edition,None,2016,Nick Derington
767,DC's Young Animal Ashcan Edition,None,2016,Robert 'Bob' Harras
769,Justice League of America,24,2006,Rodney Ramos
770,Justice League of America,24,2006,Derek Fridolfs
771,Justice League of America,24,2006,Dwayne McDuffie
772,Justice League of America,24,2006,Pete Pantazis
773,Justice League of America,24,2006,Allan Goldman
774,Justice League of America,24,2006,Prentis Rollins
775,Green Lantern,27,1941,Sheldon Mayer
776,Green Lantern,27,1941,Howard Purcell
777,Warner Bros. Pictures Presents Batman v Superman: Dawn of Justice,2,2016,Sean P. Parsons
778,Warner Bros. Pictures Presents Batman v Superman: Dawn of Justice,2,2016,Joe Bennett - 'Benedito Jose Nascimento'
779,Warner Bros. Pictures Presents Batman v Superman: Dawn of Justice,2,2016,Hi-Fi Colour Design
780,Warner Bros. Pictures Presents Batman v Superman: Dawn of Justice,2,2016,Christos N. Gage
781,Green Lantern,None,2005,Geoff Johns
782,Green Lantern,None,2005,Ivan Reis - 'Rodrigo Ivan dos Reis'
783,Green Lantern,None,2005,Daniel Acua - 'Daniel Acua Perez'
784,Green Lantern,None,2005,W. Moose Baumann
785,Green Lantern,None,2005,Oclair Albert
786,Green Lantern,97,1960,Anthony Tollin
787,Green Lantern,97,1960,Vincent Joseph Colletta - 'Vince / Vinnie / P. Zorito'
788,Green Lantern,97,1960,Mike Grell
789,Green Lantern,97,1960,Dennis 'Denny' O'Neil
790,Wonder Woman,69,1942,Irving ''Irv'' Novick
791,Wonder Woman,69,1942,Robert 'Bob' Kanigher
792,Wonder Woman,69,1942,Whitney Ellsworth
793,Wonder Woman,600,1942,Joe Madureira - 'Joe Mad!'
794,Wonder Woman,600,1942,Eduardo Pansica
795,Wonder Woman,600,1942,Doug Hazlewood
796,Wonder Woman,600,1942,Brian Buccellato - 'Brian Bucce'
797,Wonder Woman,600,1942,Guillem March
798,Wonder Woman,600,1942,Nicola Scott
799,Wonder Woman,600,1942,Phil Jimenez
800,Wonder Woman,600,1942,Gail Simone
801,Wonder Woman,600,1942,Francis Manapul
802,Wonder Woman,600,1942,George Prez
803,Wonder Woman,600,1942,Scott Kolins
804,Wonder Woman,600,1942,Greg Horn
805,Wonder Woman,600,1942,Ivan Reis - 'Rodrigo Ivan dos Reis'
806,Wonder Woman,600,1942,Jim Lee
807,Wonder Woman,600,1942,Geoff Johns
808,Wonder Woman,600,1942,Don Kramer
809,Wonder Woman,600,1942,Mark Simpson - 'Jock'
810,Wonder Woman,600,1942,Louise Simonson
811,Wonder Woman,600,1942,Joseph Michael Straczynski Sr. - 'JMS'
812,Green Lantern,11,2005,Geoff Johns
813,Green Lantern,11,2005,Ivan Reis - 'Rodrigo Ivan dos Reis'
814,Green Lantern,11,2005,Oclair Albert
815,Green Lantern,11,2005,W. Moose Baumann
816,Wonder Woman,291,1942,Roy Thomas
817,Wonder Woman,291,1942,Paul Levitz
818,Wonder Woman,291,1942,Frank McLaughlin
819,Wonder Woman,291,1942,Gene Colan - 'Adam Austin'
820,Wonder Woman,291,1942,Carl Gafford - 'Gaff'
821,Green Lantern: The Sinestro Corps War,None,2008,Guy Major
822,Green Lantern: The Sinestro Corps War,None,2008,Dave Gibbons
823,Green Lantern: The Sinestro Corps War,None,2008,W. Moose Baumann
824,Green Lantern: The Sinestro Corps War,None,2008,Drew Geraci
825,Green Lantern: The Sinestro Corps War,None,2008,Angel Unzueta
826,Green Lantern: The Sinestro Corps War,None,2008,Ivan Reis - 'Rodrigo Ivan dos Reis'
827,Green Lantern: The Sinestro Corps War,None,2008,Oclair Albert
828,Green Lantern: The Sinestro Corps War,None,2008,Patrick 'Pat' Gleason
829,Green Lantern: The Sinestro Corps War,None,2008,Geoff Johns
830,Green Lantern: The Sinestro Corps War,None,2008,Ethan Van Sciver
831,Green Lantern: The Sinestro Corps War,None,2008,Prentis Rollins
832,Green Lantern,114,1960,David 'Dave' Hunt
833,Green Lantern,114,1960,Adrienne Roy
834,Green Lantern,114,1960,Alex Saviuk
835,Green Lantern,114,1960,Dennis 'Denny' O'Neil
836,Supergirl,55,2005,Sterling Gates
837,Supergirl,55,2005,Richard Friend
838,Supergirl,55,2005,Jamal Yaseem Igle
839,Supergirl,55,2005,John Dell III
840,Supergirl,55,2005,Marc Deering
841,Supergirl,55,2005,Jim Devlin
842,Supergirl,55,2005,Jamie Grant
843,The Hellblazer,4,2016,Justin Norman - 'Moritat'
844,The Hellblazer,4,2016,Simon Oliver
845,Justice League of America's Vibe,5,2013,Pete Woods
846,Justice League of America's Vibe,5,2013,Sean P. Parsons
847,Justice League of America's Vibe,5,2013,Sterling Gates
848,Justice League of America's Vibe,5,2013,Brad Anderson
849,Justice League,13,2016,Scot Eaton
850,Justice League,13,2016,Tim Seeley
851,Justice League,13,2016,Wayne Faucher
852,Justice League,13,2016,Gabriel A. Eltaeb
853,Dark Knight III: The Master Race,2,2016,Klaus R. Janson
854,Dark Knight III: The Master Race,2,2016,Andy Kubert
855,Dark Knight III: The Master Race,2,2016,Frank Miller
856,Dark Knight III: The Master Race,2,2016,Brad Anderson
857,Dark Knight III: The Master Race,2,2016,Brian Azzarello
858,Supergirl,53,2005,Jonathan 'Jon' Sibal
859,Supergirl,53,2005,Sterling Gates
860,Supergirl,53,2005,Nei Ruffino
861,Supergirl,53,2005,Jamal Yaseem Igle
862,Green Lantern Corps,61,2006,Nei Ruffino
863,Green Lantern Corps,61,2006,Matt Banning - 'Batt'
864,Green Lantern Corps,61,2006,Tyler Kirkham
865,Green Lantern Corps,61,2006,Daniel HDR
866,Green Lantern Corps,61,2006,Antony J.L. Bedard - 'Tony Bedard'
867,Green Lantern Corps,61,2006,Keith C. Champagne
868,Supergirl,33,2005,Ron Randall
869,Supergirl,33,2005,Wes Dzioba
870,Supergirl,33,2005,James Peaty
871,Sensation Comics Featuring Wonder Woman [I],25,2014,Ryan Benjamin
872,Sensation Comics Featuring Wonder Woman [I],25,2014,Heather Nuhfer
873,Justice League Unlimited,1,2004,Carlo G. Barberi
874,Justice League Unlimited,1,2004,Johnny DC
875,Justice League Unlimited,1,2004,Heroic Age
876,Justice League Unlimited,1,2004,Walden Wong
877,Justice League Unlimited,1,2004,Adam Beechen
879,Future Quest,6,2016,Craig Rousseau
880,Future Quest,6,2016,Jeremy Lawson
881,Future Quest,6,2016,Veronica 'Vero' Gandini
882,Future Quest,6,2016,Evan Shaner - 'Doc Shaner'
883,Future Quest,6,2016,Jeff Parker
884,Future Quest,6,2016,Ron Randall
885,Future Quest,6,2016,Hanna-Barbera
887,Hal Jordan & the Green Lantern Corps,1,2016,Robert Venditti
888,Hal Jordan & the Green Lantern Corps,1,2016,Jordi Tarragona
889,Hal Jordan & the Green Lantern Corps,1,2016,Tomeu Morey
890,Hal Jordan & the Green Lantern Corps,1,2016,Rafa Sandoval - 'Rafael Sandoval'
891,Justice League of America,45,2006,Mark Bagley
892,Justice League of America,45,2006,Robert 'Rob' Hunter - 'Bobby-C'
893,Justice League of America,45,2006,Ulises Arreola
894,Justice League of America,45,2006,Norm Rapmund
895,Justice League of America,45,2006,James Dale Robinson
896,Supergirl,5,2016,Brian Ching
897,Supergirl,5,2016,Steve Orlando
898,Supergirl,5,2016,Michael Atiyeh
899,Justice League 3000,None,2014,Hi-Fi Colour Design
900,Justice League 3000,None,2014,Keith Ian Giffen
901,Justice League 3000,None,2014,Chris Batista
902,Justice League 3000,None,2014,Howard Porter
903,Justice League 3000,None,2014,John Marc 'J.M.' DeMatteis
904,Justice League 3000,None,2014,Le Beau L. Underwood
905,Green Arrow,32,1988,Frank McLaughlin
906,Green Arrow,32,1988,Mike Grell
907,Green Arrow,32,1988,Julia Lacquement
908,Green Arrow,32,1988,Grant Miehm
909,Birds of Prey,74,1999,Hi-Fi Colour Design
910,Birds of Prey,74,1999,Steve Bird
911,Birds of Prey,74,1999,Gail Simone
912,Birds of Prey,74,1999,Jim Fern - 'James Bosch'
913,Formerly Known as the Justice League,6,2003,John Marc 'J.M.' DeMatteis
914,Formerly Known as the Justice League,6,2003,Kevin Maguire
915,Formerly Known as the Justice League,6,2003,Josef 'Joe' Rubinstein
916,Formerly Known as the Justice League,6,2003,Keith Ian Giffen
917,Formerly Known as the Justice League,6,2003,Lee Loughridge
918,DC Rebirth Holiday Special,1,2017,Paul Dini
919,DC Rebirth Holiday Special,1,2017,Hi-Fi Colour Design
920,DC Rebirth Holiday Special,1,2017,Alejandro Sanchez - 'Alejandro Rodriguez Sanchez'
921,DC Rebirth Holiday Special,1,2017,Jorge Jimenez
922,DC Rebirth Holiday Special,1,2017,Elsa Charretier
923,DC Rebirth Holiday Special,1,2017,Robert 'Bob' Harras
924,New Super-Man,7,2016,Gene Luen Yang
925,New Super-Man,7,2016,Yangfen Guo
926,New Super-Man,7,2016,Yanqiu Li
927,New Super-Man,7,2016,Billy Tan - 'Billy Tan Mung Khoy'
928,Green Lantern: New Guardians,2,2011,Matt Banning - 'Batt'
929,Green Lantern: New Guardians,2,2011,Harvey Montecillo Tolibao
930,Green Lantern: New Guardians,2,2011,Antony J.L. Bedard - 'Tony Bedard'
931,Green Lantern: New Guardians,2,2011,Nei Ruffino
932,Green Lantern: New Guardians,2,2011,Tyler Kirkham
933,Justice League of America,241,1960,Gerry Conway
934,Justice League of America,241,1960,George Tuska
935,Justice League of America,241,1960,Gene D'Angelo
936,Justice League of America,241,1960,Mike Machlan
937,Birds of Prey,None,1999,Elisabeth V. Gehrlein
938,Birds of Prey,None,1999,Doug Hazlewood
939,Birds of Prey,None,1999,Hi-Fi Colour Design
940,Birds of Prey,None,1999,Nicola Scott
941,Birds of Prey,None,1999,Michael 'Mike' Carlin
